"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.624533351E0	-2.434390783E-1	1.014944196E0	-4.334449768E-3	1.043739955E0
1.641241102E0	3.654561639E-1	1.238750696E0	1.601943970E-1	1.301431420E0
1.657953555E0	-2.934974432E-1	1.068029404E0	-1.008625031E-1	1.112205377E0
1.674664989E0	1.703956127E-1	1.091488957E0	1.561937332E-1	1.115696774E0
1.691374948E0	3.187774420E-1	4.094986022E-1	8.482551575E-2	5.258360303E-1
1.708086200E0	2.653969526E-1	6.929652691E-1	3.600502014E-2	7.429217779E-1
1.724796821E0	6.929516792E-2	1.068033338E0	-3.805732727E-2	1.070955364E0
1.741506608E0	2.513613701E-1	9.502471089E-1	1.868305206E-1	1.000528735E0
1.758217747E0	3.321961164E-1	4.707193375E-1	2.184562683E-1	6.161607709E-1
1.774884332E0	1.493120193E-1	7.514781952E-1	1.789388657E-1	7.867862954E-1
1.791602979E0	6.370294094E-1	9.189231396E-1	3.228569031E-2	1.118601167E0
1.808314017E0	4.014605284E-1	3.817209303E-1	-2.059707642E-1	5.910206259E-1
1.825024577E0	2.495452166E-1	-6.592819840E-2	-1.104192734E-1	2.807343199E-1
1.841735624E0	5.070834160E-1	-3.164447844E-1	-7.522773743E-2	6.024368057E-1
1.858445401E0	6.473338604E-2	7.470308542E-1	-1.183567047E-1	7.591138373E-1
1.875200852E0	6.896145940E-1	-4.646933079E-2	5.646600723E-1	8.925069659E-1
1.891900874E0	9.737241268E-2	3.015513122E-1	4.267940521E-1	5.315710146E-1
1.908615381E0	2.515565157E-1	4.030460119E-2	3.987693787E-1	4.732041408E-1
1.925322655E0	1.830558777E-1	1.699731946E-1	1.337614059E-1	2.833592331E-1
1.942034252E0	1.924605370E-1	-4.701719284E-1	-6.782245636E-2	5.125452040E-1
1.958745280E0	1.506731510E-1	-7.094956040E-1	-5.311203003E-2	7.272601311E-1
1.975455026E0	5.453173518E-1	-6.630167365E-1	2.343635559E-1	8.898811625E-1
1.992122820E0	5.366921425E-3	-5.270525217E-1	-3.276062012E-2	5.280969823E-1
2.008875536E0	2.589557171E-1	-4.031724632E-1	-1.935958862E-3	4.791762165E-1
2.025587327E0	4.523098469E-2	-4.260550141E-1	4.175567627E-2	4.304790977E-1
2.042293715E0	-2.260413170E-1	-7.145019770E-1	-1.176166534E-2	7.494972240E-1
2.059012953E0	2.307066321E-1	-9.649953842E-1	4.032659531E-1	1.071011237E0
2.075749340E0	-3.736056089E-1	-3.530869484E-1	8.048439026E-2	5.203165202E-1
2.092429566E0	-3.949701786E-2	-7.846592665E-1	1.804676056E-1	8.061133516E-1
2.109140736E0	-1.259514093E-1	-6.740605235E-1	1.160278320E-1	6.954737987E-1
2.125849972E0	-3.217460513E-1	-1.067903042E0	8.925056458E-2	1.118884753E0
2.142561560E0	-3.012974858E-1	-1.216263652E0	2.401351929E-3	1.253029613E0
2.159271571E0	-5.935744047E-1	-1.288814664E0	-1.828870773E-1	1.430671694E0
2.175982873E0	-4.187474847E-1	-9.215910435E-1	9.013843536E-2	1.016269868E0
2.192693464E0	-5.828549862E-1	-9.328886271E-1	1.538534164E-1	1.110707882E0
2.209403180E0	-5.909224153E-1	-1.069246411E0	2.032346725E-1	1.238459334E0
2.226114207E0	-6.973601580E-1	-1.037548423E0	1.875238419E-1	1.264113567E0
2.242825662E0	-6.740314364E-1	-9.703903794E-1	1.174240112E-1	1.187334942E0
2.259491270E0	-9.001301527E-1	-1.244697094E0	-2.496719360E-3	1.536070109E0
2.276210567E0	-7.547457218E-1	-1.194949508E0	-1.590566635E-1	1.422267363E0
2.292921229E0	-1.054038286E0	-1.351375818E0	-2.009201050E-2	1.713947782E0
2.309632023E0	-9.497503638E-1	-1.189467311E0	2.481937408E-2	1.522325274E0
2.326342003E0	-1.432737589E0	-1.352170587E0	1.952829361E-1	1.979706473E0
2.343052817E0	-9.636871219E-1	-1.109239101E0	3.958196640E-1	1.521767873E0
2.359807323E0	-1.525799632E0	-1.198622227E0	3.130626678E-1	1.965392580E0
2.376507241E0	-1.527208328E0	-1.225624084E0	2.448225021E-1	1.973438049E0
2.393197396E0	-1.450644851E0	-1.025575519E0	3.216953278E-1	1.805453824E0
2.409900856E0	-1.481991649E0	-9.797990918E-1	-1.644134521E-3	1.776600183E0
2.426641465E0	-1.113936901E0	-9.315999746E-1	-6.049156189E-3	1.452160640E0
2.443352523E0	-1.651829123E0	-1.676425099E0	-1.951961517E-1	2.361576191E0
2.460061720E0	-1.772466898E0	-9.869512320E-1	-5.878896713E-1	2.112185102E0
2.476773246E0	-1.418722153E0	-7.847978473E-1	8.140277863E-2	1.623362751E0
2.493467042E0	-1.641129971E0	-7.804297805E-1	1.865730286E-1	1.826797120E0
2.510194112E0	-1.912565231E0	-7.194597721E-1	4.243803024E-1	2.087013840E0
2.526903816E0	-2.168920040E0	-7.799335718E-1	2.176637650E-1	2.315143199E0
2.543616095E0	-1.879853249E0	-7.549380064E-1	7.387447357E-2	2.027125321E0
2.560326087E0	-2.282197475E0	-1.051594257E0	1.132955551E-1	2.515375058E0
2.577037389E0	-1.828029633E0	-3.424813151E-1	2.276058197E-1	1.873710276E0
2.593719476E0	-2.443913221E0	-7.293487191E-1	-2.517700195E-2	2.550548033E0
2.610458214E0	-2.061494827E0	-7.054216862E-1	2.120027542E-1	2.189138151E0
2.627167135E0	-1.868509054E0	-6.550828815E-1	1.113042831E-1	1.983141021E0
2.643862691E0	-2.550768375E0	-3.581322432E-1	6.539249420E-2	2.576616810E0
2.660589578E0	-2.440278053E0	-2.249072194E-1	-1.221942902E-2	2.450650842E0
2.677299700E0	-1.865501165E0	-4.087986648E-1	-3.716850281E-2	1.910128908E0
2.693994442E0	-2.203730106E0	-4.293432236E-1	-1.458892822E-1	2.249899035E0
2.710721970E0	-2.384577274E0	-2.867101133E-1	-2.282571793E-1	2.412573897E0
2.727431237E0	-1.993271112E0	-2.232030034E-1	-3.654861450E-2	2.006062090E0
2.744142641E0	-2.435048819E0	8.174338937E-2	-1.541299820E-1	2.441290802E0
2.760809164E0	-2.455042601E0	-3.845354915E-2	1.216077805E-1	2.458353371E0
2.777528533E0	-2.378881454E0	-2.867847681E-2	2.575836182E-1	2.392958159E0
2.794238585E0	-2.507947683E0	2.643852532E-1	3.732528687E-1	2.549317330E0
2.810949531E0	-2.538794518E0	3.362499475E-1	4.055070877E-1	2.592870538E0
2.827660203E0	-2.312017202E0	4.554131031E-1	2.892541885E-1	2.374129867E0
2.844371210E0	-2.848636866E0	4.921008646E-1	3.017520905E-2	2.890986993E0
2.861125013E0	-2.206735849E0	2.226966321E-1	-3.595542908E-2	2.218235716E0
2.877827669E0	-2.331728935E0	-2.717226744E-4	-1.326913834E-1	2.335501425E0
2.894516308E0	-1.846564174E0	6.763427258E-1	1.379203796E-2	1.966577980E0
2.911253224E0	-2.563432217E0	8.340572119E-1	-3.801994324E-1	2.722386411E0
2.927914966E0	-2.225866795E0	6.869342327E-1	2.425003052E-2	2.329581441E0
2.944634661E0	-2.066749811E0	7.827996016E-1	-5.924987793E-2	2.210823500E0
2.961361415E0	-2.180437088E0	1.081899166E0	-8.136749268E-2	2.435453216E0
2.978068435E0	-2.371442556E0	7.277655005E-1	1.597127914E-1	2.485737435E0
2.994778802E0	-1.906565070E0	1.059915304E0	1.876869202E-1	2.189437644E0
3.011486656E0	-2.182924032E0	1.000784159E0	2.707614899E-1	2.416617067E0
3.028204154E0	-1.811060309E0	1.239525199E0	1.104116440E-1	2.197396845E0
3.044910493E0	-1.902027249E0	1.383893251E0	-3.277587891E-2	2.352433303E0
3.061621448E0	-2.576736927E0	1.152624130E0	-1.173315048E-1	2.825222515E0
3.078332293E0	-1.786717057E0	8.580334783E-1	-7.987022400E-3	1.982080494E0
3.095042620E0	-1.830162406E0	1.288443923E0	3.792381287E-2	2.238530855E0
3.111753412E0	-1.673724413E0	1.367067575E0	1.903076172E-1	2.169434063E0
3.128463871E0	-1.695122123E0	1.363443851E0	-7.125186920E-2	2.176578732E0
3.145201928E0	-1.515980482E0	1.492286563E0	1.811790466E-2	2.127309161E0
3.161907919E0	-1.776731968E0	1.412147284E0	-1.704454422E-1	2.275958718E0
3.178618510E0	-1.345686674E0	1.441457152E0	1.834964752E-2	1.972056809E0
3.195316263E0	-1.583156824E0	1.512215495E0	4.053115845E-4	2.189333551E0
3.212039690E0	-1.561479807E0	1.363716602E0	-2.627563477E-2	2.073314392E0
3.228749365E0	-1.004369378E0	1.671973228E0	1.800060272E-1	1.958737985E0
3.245416825E0	-1.588950157E0	1.505063772E0	1.755313873E-1	2.195629939E0
3.262135481E0	-9.161480665E-1	1.815860748E0	2.152862549E-1	2.045244657E0
3.278846194E0	-1.532696724E0	1.290350199E0	9.524726868E-2	2.005800320E0
3.295556703E0	-1.031460285E0	1.370007753E0	7.474994659E-2	1.716513652E0
3.312267762E0	-1.033625722E0	1.551802516E0	-1.939496994E-1	1.874590533E0
3.328977874E0	-5.958852172E-1	1.615044951E0	4.149246216E-2	1.721967192E0
3.345732674E0	-8.516183496E-1	1.541406393E0	-2.373981476E-2	1.761178884E0
3.362434201E0	-8.390042782E-1	1.668128371E0	-8.699989319E-2	1.869264407E0
3.379145636E0	-6.910887957E-1	1.591556549E0	5.740547180E-2	1.736073547E0
3.395855859E0	-5.434101820E-1	1.738781810E0	-4.717826843E-3	1.821724201E0
3.412566725E0	-4.793927968E-1	1.600382090E0	1.074562073E-1	1.674092925E0
3.429277356E0	-8.287241459E-1	1.378150702E0	2.661170959E-1	1.630000422E0
3.445988414E0	-1.917464733E-1	1.573953986E0	2.586116791E-1	1.606542206E0
3.462697539E0	-5.364202857E-1	1.198445201E0	2.272663116E-1	1.332541781E0
3.479409127E0	-4.863864183E-1	1.750043631E0	-6.347942352E-2	1.817485652E0
3.496119839E0	-5.256046057E-1	1.254395127E0	-1.074495316E-1	1.364299358E0
3.512833420E0	9.612560272E-2	1.140311599E0	-3.788089752E-2	1.144982810E0
3.529538711E0	3.553414345E-2	1.001351237E0	-7.959461212E-2	1.005137940E0
3.546251905E0	-3.152946234E-1	1.764527321E0	-1.695070267E-1	1.800472160E0
3.562961509E0	2.077728510E-2	1.236576319E0	2.489089966E-1	1.261549990E0
3.579673036E0	-8.776205778E-2	1.341871858E0	8.805847168E-2	1.347618847E0
3.596383168E0	2.230480313E-1	1.412919760E0	2.506809235E-1	1.452216787E0
3.613093402E0	-7.870006561E-2	1.145192623E0	3.709793091E-2	1.148492969E0
3.629804471E0	3.132939339E-2	1.280402422E0	-1.080894470E-2	1.280831264E0
3.646515834E0	-3.329575062E-2	6.542226076E-1	-4.740905762E-2	6.567826475E-1
