"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.567103660E-1	-1.764706671E-1	6.095715761E-1	9.689137459E0	9.709897224E0
2.587957750E-1	-1.519442350E-1	5.377869010E-1	9.675378799E0	9.691504358E0
2.608741550E-1	-1.232303679E-1	5.096712112E-1	9.665806770E0	9.680019163E0
2.629782800E-1	-1.184447184E-1	5.138586760E-1	9.622735977E0	9.637174253E0
2.650674530E-1	-9.451649338E-2	5.000999570E-1	9.617950439E0	9.631407166E0
2.671601860E-1	-7.477571070E-2	4.761717021E-1	9.637093544E0	9.649140007E0
2.692457670E-1	-5.563312769E-2	4.480560422E-1	9.699306488E0	9.709809247E0
2.713350620E-1	-3.050848842E-2	3.858426511E-1	9.747162819E0	9.754844352E0
2.734244980E-1	2.991028363E-3	3.577269912E-1	9.795019150E0	9.801549760E0
2.755149110E-1	1.794617064E-2	3.146561682E-1	9.805189133E0	9.810253029E0
2.776051120E-1	3.230310604E-2	2.955136001E-1	9.805189133E0	9.809694476E0
2.796923110E-1	4.187439755E-2	3.008974493E-1	9.848259926E0	9.852944550E0
2.817814530E-1	2.751746029E-2	3.391826153E-1	9.871589661E0	9.877453340E0
2.838702890E-1	3.708875179E-2	3.774677813E-1	9.904491425E0	9.911751000E0
2.859601330E-1	7.776673418E-3	4.390829504E-1	9.914062500E0	9.923784035E0
2.880462030E-1	-7.178467698E-3	5.300102234E-1	9.899106979E0	9.913288120E0
2.901260370E-1	-3.649054468E-2	6.251249313E-1	9.884152412E0	9.903967975E0
2.922288510E-1	-3.230310604E-2	6.969096065E-1	9.869196892E0	9.893825033E0
2.943194680E-1	-5.144568533E-2	7.447660565E-1	9.878170013E0	9.906339685E0
2.964100340E-1	-9.511470050E-2	8.063812256E-1	9.849455833E0	9.882867889E0
2.984956460E-1	-1.004985496E-1	8.781659007E-1	9.853643417E0	9.893207968E0
3.005845840E-1	-1.004985496E-1	9.451649189E-1	9.862616539E0	9.908311747E0
3.026744080E-1	-9.152546525E-2	9.930213690E-1	9.862018585E0	9.912309465E0
3.047637320E-1	-9.152546525E-2	9.978070259E-1	9.866804123E0	9.917551077E0
3.068530880E-1	-9.152546525E-2	9.738788009E-1	9.842875481E0	9.891360602E0
3.089430950E-1	-5.802594870E-2	9.164510965E-1	9.790832520E0	9.833801455E0
3.110351260E-1	-3.409772366E-2	8.787640929E-1	9.753145218E0	9.792713139E0
3.131216120E-1	-2.392822690E-2	8.213363886E-1	9.739386559E0	9.773986728E0
3.152101530E-1	1.435693540E-2	7.591229677E-1	9.710672379E0	9.740309638E0
3.172954710E-1	1.974078640E-2	7.256234884E-1	9.706484795E0	9.733589585E0
3.193758240E-1	2.931207791E-2	6.777670383E-1	9.706484795E0	9.730163124E0
3.214781190E-1	4.905286431E-2	6.592226624E-1	9.735198975E0	9.757616501E0
3.235672810E-1	5.862415582E-2	6.496513486E-1	9.730413437E0	9.752252525E0
3.256603390E-1	4.905286431E-2	6.448656917E-1	9.739984512E0	9.761432080E0
3.277477830E-1	3.948157281E-2	6.783652306E-1	9.744770050E0	9.768432910E0
3.298351650E-1	2.991028316E-2	6.735795736E-1	9.768698692E0	9.791939451E0
3.319244900E-1	1.076770201E-2	6.777670383E-1	9.783055305E0	9.806510858E0
3.340131330E-1	-1.316052489E-2	7.016952634E-1	9.811769485E0	9.836837392E0
3.361029260E-1	-3.230310604E-2	6.777670383E-1	9.811769485E0	9.835203713E0
3.381923630E-1	-5.623133108E-2	6.873382926E-1	9.821340561E0	9.845523161E0
3.402818710E-1	-7.537391037E-2	6.825526357E-1	9.811769485E0	9.835770420E0
3.423713180E-1	-1.040877849E-1	6.915257573E-1	9.812367439E0	9.837255557E0
3.444622190E-1	-9.930214286E-2	6.675975323E-1	9.817152977E0	9.840327228E0
