"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.252841073E0	-5.099147558E-3	1.968666911E-3	-5.283355713E-3	7.602026231E-3
4.269551188E0	4.333853722E-4	2.037294209E-3	-4.930496216E-4	2.140441194E-3
4.286258118E0	4.821717739E-4	2.105869353E-3	-5.278587341E-3	5.703565523E-3
4.302976878E0	-1.167356968E-4	6.953097880E-3	-4.940032959E-4	6.971602155E-3
4.319683208E0	-4.896312952E-3	2.184018493E-3	-5.279541016E-3	7.524451517E-3
4.336394624E0	4.374086857E-4	2.205424011E-3	-5.281448364E-3	5.740114829E-3
4.353086865E0	3.872811794E-4	2.127014101E-3	-4.968643188E-4	2.218343943E-3
4.369815534E0	5.114823580E-3	2.095207572E-3	-5.283355713E-3	7.646251540E-3
4.386526167E0	2.776086330E-4	2.112261951E-3	-4.997253418E-4	2.188251018E-3
4.403236524E0	-4.402041435E-3	6.908886135E-3	-5.282402039E-3	9.747535469E-3
4.419946801E0	3.824830055E-4	2.191454172E-3	-5.282402039E-3	5.731713176E-3
4.436657363E0	3.316104412E-4	6.989724934E-3	-4.997253418E-4	7.015407726E-3
4.453351139E0	-4.497766495E-3	2.321980894E-3	-5.287170410E-3	7.319540263E-3
4.470079809E0	-2.603530884E-4	7.018350065E-3	-5.285263062E-3	8.789711428E-3
4.486789831E0	4.568487406E-3	6.980769336E-3	-5.282402039E-3	9.874512089E-3
4.503500138E0	4.293620586E-4	6.991781294E-3	4.288673401E-3	8.213530117E-3
4.520211921E0	4.273653030E-4	2.172723413E-3	-4.959106445E-4	2.269205918E-3
4.536921953E0	4.249513149E-4	2.237707376E-3	-4.968643188E-4	2.331264051E-3
4.553587318E0	3.243386745E-4	2.305261791E-3	-1.007175446E-2	1.033729487E-2
4.570307808E0	5.052179098E-3	7.053077221E-3	-5.288124084E-3	1.016044626E-2
4.587017687E0	3.161430359E-4	2.286896110E-3	-5.286216736E-3	5.768355711E-3
4.603729297E0	3.139972687E-4	2.303361893E-3	4.284858704E-3	4.874841988E-3
4.620438790E0	-4.516333342E-3	7.048115134E-3	4.283905029E-3	9.403458731E-3
4.637149321E0	-5.206525326E-3	7.110163569E-3	-5.290985107E-3	1.027895206E-2
